name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
ميك اوفر22 بودرة جليتر لامع للعين  - GL005,Make Over 22,30.49,15.24,5,42,Not Available,Not Available,بودرة حرة
أحمر شفاه روج سائل انفاليبل مات ريزستانس من لوريال باريس,LOreal Paris,90,54,5,263,أحمر شفاه,Not Available,سائل
ميساودا قلم محدد شفاه ريبليبس مقاوم للماء -  105 سكين,MESAUDA,53,42.40,5,13,تحديد الشفاه - ضد الماء,Not Available,قلم - كريمي
ماسكرا لاش اند برو للرموش والحواجب من ايسنس - شفاف,essence,13,9.36,4.9,2525,الحواجب - ماسكارا,Not Available,جــل
احمر شفاه سائل مات بومب من ريفلوشن - بينك باني,Revolution,55,41.25,5,21,أحمر شفاه,Not Available,سائل
كاتريس قلم محدد شفاه بلامبينج,Catrice,11.99,10.20,4.9,13,تحديد الشفاه,Not Available,كريمي
بيوتي كرييشنز ستاي بلاشينج كيوت بلسم الشفاه والخدين,Beauty Creations,45,33.75,5,1,أحمر خدود - أحمر شفاه,Not Available,كريمي
احمر شفاه روج سائل مطفي 8 ساعات من ايسنس - 03 سوفت بيج,essence,18,15.30,5,12,أحمر شفاه - ضد الماء,Not Available,سائل
قلم تحديد العين لاينر فيوتر من برجوا,Bourjois,94,61.10,5,2,محدد العين,Not Available,Not Available
تنت الحواجب كولور ادابت من ريفلوشن - بني,Revolution,55,44,5,2,الحواجب,Not Available,قلم
مجموعة أحمر شفاه روج سائل مات ألور ميني من شيجلام,Sheglam,32,0,4.9,20,أحمر شفاه,Not Available,سائل
ميساودا قلم كحل تحديد العين ارتست ايز - نود 105,MESAUDA,32,25.60,4.9,46,محدد العين,Not Available,قلم - كريمي
كونسيلر خافي عيوب هيلثي ميكس كلين من برجوا,Bourjois,79.01,51.36,4.9,33,خافي عيوب,جافة - حساسة - دهنية - طبيعية - مختلطة,كريمي
توب فيس احمر شفاه روج انستايل كريمي - 014,Topface,50,15,4.9,28,أحمر شفاه,Not Available,كريمي
قلم كحل تحديد العين تويست ماتيك كاجال من برجوا,Bourjois,60,39,5,22,ضد الماء - محدد العين,Not Available,كريمي
برايمر انفاليبل من لوريال باريس,LOreal Paris,115,0,5,160,برايمر,Not Available,جــل
جل الحواجب باور برو فكس من ريلوف,Relove,28,21,4.8,51,الحواجب,Not Available,جــل
