name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
بيريبيرا مرطب شفاه هارت جام جلو,Peripera,39.87,0,0,0,Not Available,Not Available,Not Available
شيجلام كونسيلر خافي عيوب لايك ماجيك تغطية كاملة 12 ساعة,Sheglam,26,0,4.9,43,خافي عيوب,Not Available,كريمي
نابلا مرطب ومكبر شفاه فايبر,NABLA,99,79.20,5,1,Not Available,Not Available,Not Available
ريميل لندن كونسيلر خافي عيوب ذا مالتي تاسكر,Rimmel London,54,40.50,4.9,70,خافي عيوب - ضد الماء,Not Available,سائل
توب فيس احمر شفاه روج انستايل كريمي - 008,Topface,50,15,5,57,أحمر شفاه,Not Available,كريمي
كحل سائل ايبك اينك من نيكس,NYX,49.29,0,5,5,محدد العين,Not Available,سائل
شارلوت تلبوري باليت ظلال العيون لكجري ذا سوفيستيكيت,Charlotte Tilbury,285,242.25,5,1,ظلال العيون,Not Available,Not Available
توب فيس احمر شفاه انستايل اكستريم مطفي - 11,Topface,55,16.50,4.9,257,أحمر شفاه,Not Available,سائل
توب فيس قلم كحل تحديد العين فيلفت سموكي - 003,Topface,25,10,4.9,1019,محدد العين,Not Available,قلم - كريمي
فلورمار كحل سائل مات ديبلاينر المقاوم للماء,Flormar,31,23.25,5,2,ضد الماء - محدد العين,Not Available,Not Available
مجموعة ظلال العيون سوفت جلام ميني من انستازيا بيڤرلي هيلز,Anastasia Beverly Hills,155,154.90,5,73,ظلال العيون,Not Available,بودرة
ميك اب فور ايفر بودرة تثبيت الترا اتش دي - 2.1 Light banana,MAKE UP FOR EVER,200,0,5,13,Not Available,Not Available,بودرة حرة
داسيك قلم كحل سائل,Dasique,72,0,0,0,محدد العين,Not Available,Not Available
شيجلام بلاشر أحمر خدود سائل كولور بلوم مات فينيش,Sheglam,26,0,4.9,110,أحمر خدود - ضد الماء,Not Available,سائل
كالا ميك اب أحمر شفاه روج سحري  -  CM- 84,CALLA Makeup,50,15,4.9,122,أحمر شفاه,Not Available,كريمي
كاتريس قلم كحل كاليجراف ارتيست مات,Catrice,18,15.30,0,0,محدد العين,Not Available,Not Available
بيوتي كرييشنز ماسكارا لاش فليكس لتطويل الرموش,Beauty Creations,49,36.75,0,0,ماسكارا,Not Available,Not Available
كالا ميك اب بودرة منثورة لتثبيت المكياج - CM-51,CALLA Makeup,70,28,4.9,244,بودرة تثبيت,Not Available,بودرة حرة
